QID,name_x,Unnamed: 2,best_match,name
Q39938677,Neoen,,Neoen,
Q15922559,Far Eastern New Century,,Far Eastern New Century,
Q250362,Israel Discount Bank Ltd.,,Israel Discount Bank,
Q6648755,Littelfuse,,Littelfuse,
Q1430331,Flowserve,,Flowserve,
Q333498,Bombardier,,Bombardier,
Q2882083,Bank of Credit and Investments,,Oakley Capital Investments,
Q794200,Beclean,,Becle,
Q549127,Fomento de Construcciones y Contratas,,Fomento de Construcciones y Contratas,
Q1802165,LEG Immobilien,,LEG Immobilien,
Q11242714,SCSK Corporation,,SCSK Corporation,
Q1630246,Intouch Holdings,,Intouch Holdings,
Q22661749,"Chart Industries, Inc",,Chart Industries,
Q35996,Mazda,,Mazda,
Q28407181,Acadia Healthcare,,Acadia Healthcare,
Q56064089,Pilbara Minerals,,Pilbara Minerals,
Q11340607,MatsukiyoCocokara & Co.,,MatsukiyoCocokara,
Q1765036,West Fraser Timber,,West Fraser Timber,
Q7893816,Unity Technologies,,Cigniti Technologies,
Q106581385,Kyndryl,,Kyndryl,
Q213147,Korean Air,,Korean Air Lines,
Q591090,Barratt Developments,,Barratt Developments,
Q494158,SK Group,,SK Group,
Q5152510,Commercial Metals Company,,Commercial Metals Company,
Q107518109,Revolution Medicines (United States),,Revolution Medicines,
Q2363991,Colruyt,,Colruyt,
Q207770,Pirelli,,Pirelli,
Q1539149,Vanguard International Semiconductor Corporation,,Vanguard International Semiconductor,
Q16161254,HYBE,,HYBE,
Q442018,Andritz,,Andritz,
Q11512295,Meiji Holdings,,Meiji Holdings,
Q23680018,Wintrust Financial,,Wintrust Financial,
Q2819236,ALD Automotive,,ALD Automotive,
Q188954,Eric S. Raymond,,Raymond,
Q7196294,Pinnacle Financial Partners,,Pinnacle Financial Partners,
Q4835429,BELIMO Holding AG,,BELIMO Holding,
Q506160,Land Securities,,Land Securities Group,
Q7582097,Squarespace,,Squarespace,
Q5871641,Hitachi Construction Machinery,,Hitachi Construction Machinery,
Q48729722,AU Small Finance Bank,,AU Small Finance Bank,
Q85816338,WuXi Biologics,,WuXi Biologics,
Q106240682,Australian Foundation Investment Company Limited,,Australian Foundation Investment Company,
Q107348258,Endeavour Group,,Endeavour Group,
Q3146728,IMI plc,,IMI plc,
Q1374315,Eurazeo,,Eurazeo,
Q7544153,Smartsheet,,Smartsheet,
Q5455836,Five Below,,Five Below,
Q7179027,Petronet LNG,,Petronet LNG,
Q885589,BlueScope Steel,,BlueScope Steel,
Q1168517,Groupe SEB,,Groupe SEB,
Q7432601,School of the Art Institute of Chicago,,,
Q1872227,Louisiana-Pacific,,Louisiana-Pacific,
Q1711120,PSP Swiss Property,,PSP Swiss Property,
Q28685083,Nippon Building Fund,,Nippon Building Fund,
Q18616140,Allegro MicroSystems,,Allegro MicroSystems,
Q60749208,Marathon Digital Holdings,,Marathon Digital Holdings,
Q7088304,Ollie's Bargain Outlet,,Ollie's Bargain Outlet,
Q56811344,Luckin Coffee,,Luckin Coffee,
Q3783414,Harmony Gold USA,,Harmony Gold,
Q101209850,Vontier,,Vontier,
Q7385192,Ryman Hospitality Properties,,Ryman Hospitality Properties,
Q7830633,Toyo Suisan,,Toyo Suisan,
Q6715339,MEG Energy,,MEG Energy,
Q3508889,Synovus,,Synovus,
Q106221710,Darling Ingredients Inc.,,Darling Ingredients,
Q621096,Fannie Mae,,Fannie Mae,
Q3343495,Norbert Dentressangle,,,
Q16836218,AXIS Capital,,AXIS Capital,
Q61125462,Camtek Ltd.,,Camtek,
Q22907412,Nykaa,,Nykaa,
Q4947278,Bosideng,,Bosideng,
Q3764687,Mphasis,,Mphasis,
Q836984,Orica,,Orica,
Q1132272,PVH,,,
Q28444592,OneMain Financial,,OneMain Financial,
Q2162158,BOK Financial Corporation,,C&amp;F Financial Corporation,
Q5147194,Colliers International,,Colliers International,
Q1071712,Chiba Bank,,Chiba Bank,
Q1032400,Canadian Tire,,Canadian Tire,
Q6818611,Mercury Energy,,McPhy Energy,
Q7250893,Prosperity Bancshares,,Prosperity Bancshares,
Q872140,EVN Group,,EVN Group,
Q662174,Securitas,,Securitas AB,
Q104481026,Madrigal Pharmaceuticals (United States),,Madrigal Pharmaceuticals,
Q1054327,Vicinity Centres,,Vicinity Centres,
Q11233609,MonotaRO,,Monotaro,
Q792486,Axfood,,Axfood,
Q106301464,Reynolds Consumer Products,,Reynolds Consumer,
Q631507,Arcadis,,Arcadis,
Q5420252,Exide Industries,,Exide Industries,
Q353494,The Adecco Group,,Adecco Group,
Q12218587,The Company for Cooperative Insurance,,The Company for Cooperative Insurance,
Q3706466,DiaSorin,,DiaSorin,
Q7399082,Sagawa Express,,S.F. Express,
Q55454104,ASMPT,,ASML,
Q1007000,Genpact,,Genpact,
Q15940141,HK Electric Investments Limited,,HK Electric Investments,
Q2330976,Voltas,,Voltas,
Q1476377,Subsea 7,,Subsea 7,
Q585314,Ibiden,,Ibiden,
Q25485094,Sensata Technologies Bulgaria,,Sensata Technologies,
Q700974,Trend Micro,,Trend Micro,
Q5048400,Casella Waste Systems,,Casella Waste Systems,
Q185564,S-Oil,,S-OIL,
Q657648,Cedar Fair,,Cedar Fair,
Q3817709,Yanbu National Petrochemical Company,,Yanbu National Petrochemical,
Q680802,Georg Fischer,,Georg Fischer,
Q7939276,TPG Telecom,,TPG Telecom,
Q934796,Erdemir,,Erdemir,
Q1075788,Choice Hotels,,Chalet Hotels,
Q15822351,KPIT Technologies,,KPIT Technologies,
Q2261455,Scout24 SE,,Scout24,
Q4807838,Aspen Pharmacare,,Aspen Pharmacare,
Q6819538,Meritage Homes Corporation,,Dexerials Corporation,
Q4699029,Airtel Africa,,Airtel Africa,
Q16950815,"Beacon Roofing Supply, Inc.",,Beacon Roofing Supply,
Q18205529,"Bill.com, LLC",,Bill.com,
Q702550,International Games System,,International Games System,
Q2494842,ESAB,,ESAB,
Q68240,Onex,,Onex,
Q469553,Timken Company,,Timken Company,
Q6095481,Quinenco,,Quiñenco,
Q54075,SSAB,,SSAB,
Q2894569,Frontline,,Frontline,
Q16122251,Al-Rajhi Company for Cooperative Insurance,,Al Rajhi Company for Cooperative Insurance,
Q535517,Wacker Chemie,,Wacker Chemie,
Q1742326,KION Group,,KION Group,
Q1640639,Telekom Malaysia,,Telekom Malaysia,
Q22062628,Coromandel,,Coromandel,
Q30269384,Viking Therapeutics,,Viking Therapeutics,
Q28220268,Ezdan Holding Group,,Ezdan Holding Group,
Q104834489,CAPREIT,,CT REIT,
Q96134944,Badger Meter Slovakia,,Badger Meter,
Q16531742,Valvoline,,Valvoline,
Q30325409,Janus Henderson,,Janus Henderson,
Q741445,Covivio,,Covivio,
Q178778,Ricoh,,Rohm,
Q901262,Grifols,,Grifols,
Q903957,Icl Group Ltd,,Iveco Group,
Q7020906,Nexstar Media Group,,Nexstar Media Group,
Q902171,Lundbeck,,Lundbeck,
