id,contour,is_actual,name,notes,interest_object_type_id,registration_date,update_date,creator,last_updater,markers,image_name,redmine_issue_ids,secret_level_id,start_date,end_date,avatar_document_uuid,status
226886,ОК,True,Réunion,,1367,1684739371,1721154317,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226026,ОК,True,Angola,,1367,1684738152,1722769078,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
203640,ОК,True,Венгрия,,1367,1679671730,1723468708,c6bc5dff-5220-48fa-8071-259e0d49472e,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
55107260,ОК,True,Барбадос,,1367,1719239426,1723232040,c91498ca-cb9e-496c-a4d6-ab00ffd80ba6,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],"{'bucketName': 'documents', 'objectName': 'a545/55dc/BB - Barbados.png'}",[],1,,,,approved
82611866,ОК,True,Malaysia,,1367,1723118983,1723118984,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
82611807,ОК,True,Pakistan,,1367,1723118978,1723118979,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
82611900,ОК,True,India,,1367,1723118987,1723118989,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
447657,ОК,True,Бангладеш,,1367,1689677093,1723470227,0db8e6a8-fe86-41cb-a1aa-cc6a70470e79,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],"{'bucketName': 'documents', 'objectName': 'c37d/7a60/BD - Bangladesh.png'}",[],1,,,c37d7a60-3c50-4277-a70d-fde22ff94992,approved
226553,ОК,True,КНДР,,1367,1684738934,1723471280,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
95469,ОК,True,Грузия,,1367,1658825884,1723471459,2dd5f883-dc52-4c23-a433-f7f61f4901ac,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
