name,location,coordinates
Университет штата в Сан-Франциско,"San Francisco, California, United States",37°43′24″ с. ш. 122°28′47″ з. д.
Раджшахский университет,,
Офицерская кадетская школа Монса,,
Колледж Королевских ВВС в Крануэлле,,
Университет Кёнхи,"Республика Корея, Сеул и Сувон",37°35′48″ с. ш. 127°03′07″ в. д.
Казахский национальный университет,"Казахстан, Алма-Ата",43°13′30″ с. ш. 76°55′16″ в. д.
Каирский университет,"Египет, Гиза",30°01′39″ с. ш. 31°12′37″ в. д.
Университет Ниццы — Софии Антиполис,"Ницца, Франция",43°33′13″ с. ш. 6°58′00″ в. д.
Колледж Льюиса и Кларка,"Portland, Oregon, United States45°27′04″N 122°40′12″W﻿ / ﻿45.451°N 122.670°W﻿ / 45.451; -122.670",45°27′03″ с. ш. 122°40′12″ з. д.
Американский университет в Каире,"Каир, Египет",30°01′11″ с. ш. 31°30′01″ в. д.
Ноттингемский университет,"г. Ноттингем, графство Ноттингемшир,  Англия,  Великобритания.",52°56′ с. ш. 1°12′ з. д.
Университет Алжира,,
Гарвардский университет,"Cambridge, Massachusetts, United States42°22′28″N 71°07′01″W﻿ / ﻿42.37444°N 71.11694°W﻿ / 42.37444; -71.11694",42°22′34″ с. ш. 71°06′59″ з. д.
Школа принцев,,
Оклендский университет,"Окленд, Новая Зеландия",42°22′34″ с. ш. 71°06′59″ з. д.
Гуджаратский университет,,
Мертон-колледж (Оксфорд),,51°45′04″ с. ш. 1°15′08″ з. д.
Люблянский университет,"Словения, Любляна",46°02′56″ с. ш. 14°30′14″ в. д.
Еврейский университет в Иерусалиме,"Израиль, Иерусалим, Реховот",31°46′33″ с. ш. 35°12′00″ в. д.
Национальный университет Сингапура,Сингапур,1°17′44″ с. ш. 103°46′36″ в. д.
Вьетнамский национальный университет в Ханое,,
Национальный университет Узбекистана,"Узбекистан, Ташкент",41°21′04″ с. ш. 69°12′18″ в. д.
Лондонская школа экономики и политических наук,Лондон,51°30′50″ с. ш. 0°07′00″ з. д.
Гисенский университет,"Гисен, Гессен, Германия",50°34′51″ с. ш. 8°40′35″ в. д.
Азербайджанский университет языков,"Баку,  Азербайджан",40°23′01″ с. ш. 49°50′35″ в. д.
Оберщютценская федеральная гимназия,,
Монгольский государственный университет,"Улан-Батор, Монголия",47°55′22″ с. ш. 106°55′09″ в. д.
Национальная школа администрации,,
Гамбургский университет,Гамбург,53°34′01″ с. ш. 9°59′02″ в. д.
Университет Ёнсе,"Сеул, Вонджу, Инчхон",37°33′56″ с. ш. 126°56′18″ в. д.
Университет Соган,,
Римский университет Ла Сапиенца,"Рим, Лацио, Италия",41°54′12″ с. ш. 12°30′57″ в. д.
Коимбрский университет,"Coimbra, Portugal40°12′27″N 8°25′35″W﻿ / ﻿40.2074°N 8.4265°W﻿ / 40.2074; -8.4265",40°12′27″ с. ш. 8°25′35″ з. д.
Мадридский университет Комплутенсе,"Мадрид, Испания",40°26′57″ с. ш. 3°43′41″ з. д.
Лиссабонский университет,"Лиссабон,  Португалия",38°45′09″ с. ш. 9°09′32″ з. д.
Хельсинкский университет,Хельсинки,60°10′10″ с. ш. 024°57′00″ в. д.
Университет Аделаиды,Аделаида,34°55′09″ ю. ш. 138°36′15″ в. д.
Технический университет в Кошице,"Кошице, Словакия",48°43′53″ с. ш. 21°14′41″ в. д.
Университет Корвина,"Budapest, Hungary",47°29′10″ с. ш. 19°03′29″ в. д.
Афинский университет,"Афины, Греция",37°59′05″ с. ш. 23°46′01″ в. д.
Королевский колледж Лондона,"Лондон, Великобритания",51°30′43″ с. ш. 0°06′58″ з. д.
Карлов университет,"Прага,  Чехия",50°05′18″ с. ш. 14°24′13″ в. д.
Университет Турку,"Турку, Финляндия",60°27′15″ с. ш. 22°17′05″ в. д.
Калькуттский университет,"Калькутта, Западная Бенгалия, Индия",22°34′30″ с. ш. 88°21′46″ в. д.
Афинский университет,"Афины, Греция",37°59′05″ с. ш. 23°46′01″ в. д.
Санкт-Петербургский государственный университет,Россия Санкт-Петербург,59°26′29″ с. ш. 30°18′00″ в. д.
Пембрук-колледж,,Coord extraction error
Латвийский университет,"Латвия, Рига",56°57′00″ с. ш. 24°07′00″ в. д.
Фрайбургский университет,"Фрайбург, Германия",47°59′39″ с. ш. 7°50′49″ в. д.
Университет имени Чатрапати Шаху Джи Махараджа,,
Национальная школа администрации,,
школа имам-хатибов,,
Техасский университет в Остине,"Austin, Texas, United States30°17′06″N 97°44′06″W﻿ / ﻿30.285°N 97.735°W﻿ / 30.285; -97.735",30°17′10″ с. ш. 97°44′22″ з. д.
Университет «Гаджа Мада»,,
Еврейский университет в Иерусалиме,"Израиль, Иерусалим, Реховот",31°46′33″ с. ш. 35°12′00″ в. д.
Мюнхенский университет,"Мюнхен (Бавария),  Германия",48°09′03″ с. ш. 11°34′49″ в. д.
Стэнфордский университет,"Stanford, California, United States
37°25′39″N 122°10′12″W﻿ / ﻿37.42750°N 122.17000°W﻿ / 37.42750; -122.17000",37°25′48″ с. ш. 122°10′12″ з. д.
Люблянский университет,"Словения, Любляна",46°02′56″ с. ш. 14°30′14″ в. д.
Университет Куинс,,Coord extraction error
Университет штата Огайо,"Columbus, Ohio, United States",40°00′00″ с. ш. 83°00′52″ з. д.
МГИМО,"Moscow, Russia",55°40′19″ с. ш. 37°29′18″ в. д.
Павлодарский государственный университет,"Казахстан, г. Павлодар",52°15′59″ с. ш. 76°58′00″ в. д.
Национальная школа администрации,,
Кыргызско-Российский Славянский университет имени Бориса Ельцина,"Бишкек,  Кыргызстан",42°52′25″ с. ш. 74°36′51″ в. д.
